Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Asset_Tier,Is_Liquidated,Liquidation_Probability,Projected_Asset_Yield,CELR
14439.0,320,5,9443.04,2,4,5,Distressed Equity,1,0.99,123.50794531810541,122.27286586492436
18260.0,173,23,9962.11,3,5,5,High-Yield Volatile,1,0.99,123.19673230462017,121.96476498157396
12590.0,211,2,9864.26,2,2,5,Dormant Capital,1,1.0,121.41593497558003,121.41593497558003
13811.0,184,3,814.5,3,3,3,High-Yield Volatile,1,1.0,121.39008161671237,121.39008161671237
14513.0,101,6,788.01,3,4,3,High-Yield Volatile,1,0.99,122.30839276992555,121.0853088422263
17560.0,95,8,1895.8,3,5,4,High-Yield Volatile,1,1.0,120.92225948871105,120.92225948871105
14210.0,106,16,5861.52,3,5,5,High-Yield Volatile,1,0.99,119.09857288381627,117.90758715497812
15245.0,134,8,4610.84,3,4,5,High-Yield Volatile,1,1.0,117.32843083327704,117.32843083327704
14973.0,107,3,1314.45,3,3,4,High-Yield Volatile,1,1.0,115.12475735619644,115.12475735619644
15491.0,95,6,3100.09,3,4,5,High-Yield Volatile,1,0.98,117.43411269178306,115.0854304379474
17312.0,139,3,644.3,3,3,3,High-Yield Volatile,1,1.0,112.91390753358107,112.91390753358107
16174.0,126,7,2246.75,3,4,4,High-Yield Volatile,1,1.0,112.73383677251908,112.73383677251908
13851.0,96,8,4606.46,3,4,5,High-Yield Volatile,1,1.0,112.62245954147487,112.62245954147487
14414.0,92,8,2399.33,3,4,4,High-Yield Volatile,1,0.97,115.97907631146656,112.49970402212256
15569.0,104,10,3586.35,3,5,5,High-Yield Volatile,1,0.99,113.10849153225689,111.97740661693432
14199.0,218,4,1091.7,2,3,3,Distressed Equity,1,1.0,111.8316787497327,111.8316787497327
17460.0,94,16,2228.27,3,5,4,High-Yield Volatile,1,1.0,110.82158356359383,110.82158356359383
14867.0,186,16,2952.06,3,5,4,High-Yield Volatile,1,1.0,110.66442099507572,110.66442099507572
17692.0,127,12,2975.8,3,5,5,High-Yield Volatile,1,1.0,110.45372412648767,110.45372412648767
15182.0,154,11,2998.952,3,5,5,High-Yield Volatile,1,0.99,111.22207488709739,110.10985413822641
14344.0,127,20,3333.7000000000003,3,5,5,High-Yield Volatile,1,0.99,110.46853651662147,109.36385115145525
16568.0,428,2,1020.9,1,2,3,Dormant Capital,1,1.0,109.28085385002623,109.28085385002623
17146.0,106,13,5860.24,3,5,5,High-Yield Volatile,1,1.0,109.1345001363518,109.1345001363518
17742.0,113,11,2098.48,3,5,4,High-Yield Volatile,1,1.0,108.57057612345756,108.57057612345756
14016.0,162,11,11403.41,3,5,5,High-Yield Volatile,1,0.97,111.62740114805946,108.27857911361768
15885.0,93,15,1951.82,3,5,4,High-Yield Volatile,1,0.98,109.80128577005254,107.6052600546515
15095.0,104,10,3141.64,3,5,5,High-Yield Volatile,1,0.99,108.03623963638145,106.95587724001764
15461.0,461,2,429.7,1,2,2,Dormant Capital,1,1.0,106.31582683942017,106.31582683942017
13783.0,488,4,1542.09,1,3,4,Distressed Equity,1,1.0,106.13848346353865,106.13848346353865
13799.0,117,9,2803.57,3,5,4,High-Yield Volatile,1,0.99,106.50959470088327,105.44449875387444
17955.0,199,6,949.9,2,4,3,Distressed Equity,1,1.0,105.19203675660675,105.19203675660675
12502.0,96,5,3723.87,3,4,5,High-Yield Volatile,1,1.0,102.60766415802762,102.60766415802762
13489.0,105,4,449.52,3,3,2,High-Yield Volatile,1,0.98,104.43301285028983,102.34435259328403
16045.0,120,8,3434.93,3,4,5,High-Yield Volatile,1,1.0,102.2927833821817,102.2927833821817
17440.0,157,4,323.58,3,4,2,High-Yield Volatile,1,1.0,102.23871728182203,102.23871728182203
15734.0,115,4,2263.3,3,3,4,High-Yield Volatile,1,1.0,102.08281395747393,102.08281395747393
15122.0,114,11,4497.47,3,5,5,High-Yield Volatile,1,1.0,100.97459026620884,100.97459026620884
12770.0,211,2,3246.45,2,2,5,Dormant Capital,1,1.0,100.56589474007376,100.56589474007376
14855.0,119,7,6520.3,3,4,5,High-Yield Volatile,1,0.98,102.12379908307183,100.08132310141039
15079.0,213,11,3767.35,2,5,5,Distressed Equity,1,1.0,99.4006241851342,99.4006241851342
14745.0,113,12,2571.81,3,5,4,High-Yield Volatile,1,1.0,99.26140851916551,99.26140851916551
16456.0,99,13,6862.91,3,5,5,High-Yield Volatile,1,0.98,100.94138608667066,98.92255836493725
13856.0,169,11,1142.03,3,5,3,High-Yield Volatile,1,1.0,98.73169163361115,98.73169163361115
18142.0,157,2,1019.52,3,3,3,High-Yield Volatile,1,1.0,98.50629470067726,98.50629470067726
16503.0,107,11,3614.34,3,5,5,High-Yield Volatile,1,1.0,98.50125790062819,98.50125790062819
12414.0,217,6,952.41,2,4,3,Distressed Equity,1,1.0,95.57263388254547,95.57263388254547
15133.0,128,5,1806.9,3,4,4,High-Yield Volatile,1,1.0,95.30175538876163,95.30175538876163
15638.0,379,6,2265.2,2,4,4,Distressed Equity,1,0.99,95.22124198301528,94.26902956318513
14460.0,110,9,1093.5,3,5,3,High-Yield Volatile,1,0.99,94.99075940064841,94.04085180664192
15488.0,93,5,431.92,3,4,2,High-Yield Volatile,1,1.0,93.36620700829518,93.36620700829518
15221.0,366,4,2465.45,2,3,4,Distressed Equity,1,1.0,92.55757982088677,92.55757982088677
16545.0,165,2,689.8199999999999,3,2,3,Dormant Capital,1,1.0,90.81360400384645,90.81360400384645
15985.0,123,7,2715.28,3,4,4,High-Yield Volatile,1,0.99,91.15344872621682,90.24191423895465
15596.0,101,9,3130.04,3,5,5,High-Yield Volatile,1,1.0,90.11212006731465,90.11212006731465
13085.0,158,8,2433.28,3,4,4,High-Yield Volatile,1,1.0,89.79855373788364,89.79855373788364
15625.0,104,9,3236.4,3,5,5,High-Yield Volatile,1,1.0,89.46390046008908,89.46390046008908
17504.0,206,18,9565.12,2,5,5,Distressed Equity,1,1.0,88.79492316832992,88.79492316832992
16546.0,291,5,5606.47,2,4,5,Distressed Equity,1,0.99,88.23868485306133,87.35629800453071
16377.0,267,2,1308.48,2,2,4,Dormant Capital,1,1.0,86.9654483344659,86.9654483344659
14006.0,116,7,2196.67,3,4,4,High-Yield Volatile,1,0.99,87.5874762228663,86.71160146063764
15938.0,112,9,734.8100000000001,3,5,3,High-Yield Volatile,1,1.0,86.45837704555517,86.45837704555517
13931.0,96,11,5257.38,3,5,5,High-Yield Volatile,1,1.0,86.36225044866916,86.36225044866916
16163.0,232,6,2849.58,2,4,4,Distressed Equity,1,1.0,85.5101034019848,85.5101034019848
16083.0,101,4,2351.42,3,4,4,High-Yield Volatile,1,0.98,87.16104290317425,85.41782204511077
13925.0,93,4,678.25,3,3,3,High-Yield Volatile,1,1.0,84.95757387552395,84.95757387552395
13593.0,108,14,5523.6900000000005,3,5,5,High-Yield Volatile,1,1.0,84.909646639159,84.909646639159
15045.0,152,2,735.66,3,2,3,Dormant Capital,1,1.0,84.6460040318811,84.6460040318811
18095.0,313,5,2303.09,2,4,4,Distressed Equity,1,1.0,83.88589019791004,83.88589019791004
18178.0,129,11,6103.74,3,5,5,High-Yield Volatile,1,1.0,83.83159854762697,83.83159854762697
12592.0,92,5,2582.66,3,4,4,High-Yield Volatile,1,0.99,84.38567474370238,83.54181799626535
12758.0,117,7,9903.24,3,4,5,High-Yield Volatile,1,0.96,87.01870528712763,83.53795707564252
16565.0,364,4,773.05,2,4,3,Distressed Equity,1,1.0,83.46623527165471,83.46623527165471
15581.0,121,38,7794.59,3,5,5,High-Yield Volatile,1,0.96,86.91493084825898,83.43833361432861
15641.0,105,12,5345.55,3,5,5,High-Yield Volatile,1,0.99,83.72912622039863,82.89183495819464
14915.0,91,11,1811.25,3,5,4,High-Yield Volatile,1,0.92,89.71225651038733,82.53527598955635
14548.0,151,9,2627.49,3,5,4,High-Yield Volatile,1,1.0,82.30349729854113,82.30349729854113
16550.0,109,18,9435.13,3,5,5,High-Yield Volatile,1,0.98,83.41624456926124,81.74791967787601
14885.0,132,3,1598.12,3,3,4,High-Yield Volatile,1,1.0,81.65602562258816,81.65602562258816
18062.0,173,6,1632.67,3,4,4,High-Yield Volatile,1,0.99,82.18656550079781,81.36469984578983
15361.0,362,4,689.07,2,3,3,Distressed Equity,1,1.0,81.03901602967714,81.03901602967714
15057.0,275,5,3255.96,2,4,5,Distressed Equity,1,0.99,81.79226695873493,80.97434428914758
15247.0,122,3,976.06,3,3,3,High-Yield Volatile,1,1.0,80.73849596090048,80.73849596090048
14442.0,205,7,5367.02,2,4,5,Distressed Equity,1,0.99,80.87391539678606,80.0651762428182
15944.0,277,4,2164.24,2,3,4,Distressed Equity,1,1.0,80.01008735199011,80.01008735199011
12693.0,127,7,1703.02,3,4,4,High-Yield Volatile,1,1.0,79.94497922202774,79.94497922202774
13037.0,138,12,3914.95,3,5,5,High-Yield Volatile,1,1.0,79.9407387075007,79.9407387075007
17646.0,219,12,4149.79,2,5,5,Distressed Equity,1,1.0,79.13385560272926,79.13385560272926
13288.0,443,5,927.61,1,4,3,Distressed Equity,1,1.0,79.08244388503418,79.08244388503418
15649.0,336,4,2170.35,2,3,4,Distressed Equity,1,1.0,78.93484921550748,78.93484921550748
14905.0,158,8,1971.39,3,4,4,High-Yield Volatile,1,1.0,78.7978260287382,78.7978260287382
14308.0,549,2,1147.02,1,2,3,Dormant Capital,1,1.0,78.60600316035165,78.60600316035165
16943.0,212,5,1299.49,2,4,4,Distressed Equity,1,1.0,78.22231175352827,78.22231175352827
15379.0,169,8,4877.84,3,4,5,High-Yield Volatile,1,1.0,77.91842723530372,77.91842723530372
17707.0,185,8,609.3,3,5,2,High-Yield Volatile,1,1.0,77.74035718707744,77.74035718707744
14000.0,211,5,2046.34,2,4,4,Distressed Equity,1,1.0,77.01543115957169,77.01543115957169
16553.0,163,33,16644.01,3,5,5,High-Yield Volatile,1,1.0,76.99405388786056,76.99405388786056
18073.0,114,12,3877.52,3,5,5,High-Yield Volatile,1,1.0,76.98707923948142,76.98707923948142
15223.0,226,5,1417.95,2,4,4,Distressed Equity,1,1.0,76.51746045978243,76.51746045978243
16654.0,141,8,1711.47,3,5,4,High-Yield Volatile,1,1.0,76.0366154988331,76.0366154988331
12888.0,214,2,354.12,2,2,2,Dormant Capital,1,1.0,75.33773570037448,75.33773570037448
14740.0,197,11,4161.06,2,5,5,Distressed Equity,1,0.99,75.16619062331175,74.41452871707862
13659.0,206,12,4894.88,2,5,5,Distressed Equity,1,1.0,74.20861312430783,74.20861312430783
13696.0,422,3,2020.4,1,3,4,Distressed Equity,1,1.0,74.05406690829365,74.05406690829365
16172.0,95,8,1884.55,3,5,4,High-Yield Volatile,1,1.0,73.95697871414669,73.95697871414669
12916.0,139,7,4654.02,3,4,5,High-Yield Volatile,1,1.0,73.90378288035723,73.90378288035723
13003.0,106,3,149.05,3,3,1,High-Yield Volatile,1,1.0,73.90296882736655,73.90296882736655
13261.0,269,2,944.1,2,2,3,Dormant Capital,1,1.0,72.50965267658896,72.50965267658896
12857.0,211,6,3688.0,2,4,5,Distressed Equity,1,1.0,72.45026048020887,72.45026048020887
15108.0,142,4,1300.25,3,3,4,High-Yield Volatile,1,1.0,72.25605445182823,72.25605445182823
13776.0,428,2,623.98,1,2,3,Dormant Capital,1,1.0,72.24212805388858,72.24212805388858
17085.0,123,28,7891.41,3,5,5,High-Yield Volatile,1,0.98,73.47822719047666,72.00866264666712
15623.0,141,8,2437.05,3,4,4,High-Yield Volatile,1,1.0,71.76303576912376,71.76303576912376
16551.0,96,7,2237.12,3,4,4,High-Yield Volatile,1,1.0,71.67903591830904,71.67903591830904
14926.0,382,2,359.4,2,2,2,Dormant Capital,1,1.0,71.44082849985594,71.44082849985594
14935.0,297,2,2849.83,2,2,4,Dormant Capital,1,1.0,71.34336245718855,71.34336245718855
12754.0,236,3,3010.74,2,3,5,Distressed Equity,1,1.0,70.72686882769044,70.72686882769044
14565.0,96,5,3859.22,3,4,5,High-Yield Volatile,1,1.0,69.4313346439769,69.4313346439769
12424.0,163,4,3340.03,3,3,5,High-Yield Volatile,1,1.0,69.34984935632683,69.34984935632683
17242.0,108,5,2889.28,3,4,4,High-Yield Volatile,1,0.98,70.73314669032472,69.31848375651822
17969.0,166,20,2369.94,3,5,4,High-Yield Volatile,1,0.99,69.93430777546263,69.234964697708
14352.0,157,4,1078.96,3,3,3,High-Yield Volatile,1,1.0,69.2117534970048,69.2117534970048
17638.0,647,2,842.4000000000001,1,3,3,Distressed Equity,1,1.0,69.01119601461914,69.01119601461914
12507.0,134,4,1844.06,3,3,4,High-Yield Volatile,1,1.0,68.89897610590685,68.89897610590685
17722.0,96,5,4430.36,3,4,5,High-Yield Volatile,1,0.97,71.01068857600565,68.88036791872548
12653.0,149,3,4160.83,3,3,5,High-Yield Volatile,1,1.0,68.72982834010725,68.72982834010725
13492.0,136,3,1269.84,3,3,4,High-Yield Volatile,1,1.0,68.59621184696552,68.59621184696552
14625.0,196,11,4497.88,2,5,5,Distressed Equity,1,1.0,68.56741192567453,68.56741192567453
16199.0,392,7,942.75,2,4,3,Distressed Equity,1,1.0,68.48752660534707,68.48752660534707
14220.0,247,4,1515.0,2,3,4,Distressed Equity,1,1.0,68.46758008545459,68.46758008545459
14377.0,191,2,617.05,2,2,2,Dormant Capital,1,1.0,68.44669141716102,68.44669141716102
12897.0,205,4,514.25,2,3,2,Distressed Equity,1,1.0,68.36013066828379,68.36013066828379
13485.0,233,11,3019.2200000000003,2,5,5,Distressed Equity,1,1.0,68.21236715023744,68.21236715023744
12840.0,144,7,4041.97,3,4,5,High-Yield Volatile,1,1.0,68.04044756217768,68.04044756217768
14758.0,145,7,2864.9700000000003,3,4,4,High-Yield Volatile,1,1.0,67.78907109693813,67.78907109693813
17849.0,218,8,1063.76,2,5,3,Distressed Equity,1,0.99,67.88051358584708,67.20170844998862
13720.0,117,4,799.9,3,3,3,High-Yield Volatile,1,1.0,66.92561734092735,66.92561734092735
16175.0,94,7,1836.44,3,4,4,High-Yield Volatile,1,1.0,66.63825587131446,66.63825587131446
12947.0,144,6,1908.03,3,4,4,High-Yield Volatile,1,1.0,66.54351641749876,66.54351641749876
14423.0,218,3,916.61,2,3,3,Distressed Equity,1,1.0,66.28003913522123,66.28003913522123
16256.0,267,3,1629.37,2,3,4,Distressed Equity,1,0.99,66.54240597790918,65.87698191813008
12649.0,107,8,2294.65,3,4,4,High-Yield Volatile,1,1.0,65.54904078530421,65.54904078530421
16323.0,196,2,353.66,2,2,2,Dormant Capital,1,1.0,65.46058203617885,65.46058203617885
12976.0,212,8,3156.38,2,4,5,Distressed Equity,1,1.0,65.01721755844287,65.01721755844287
12601.0,190,6,681.26,2,4,3,Distressed Equity,1,1.0,64.93640884692577,64.93640884692577
12669.0,151,3,2744.03,3,3,4,High-Yield Volatile,1,1.0,64.7939656312843,64.7939656312843
14465.0,247,11,3946.03,2,5,5,Distressed Equity,1,1.0,64.34465245668655,64.34465245668655
17740.0,389,6,426.9,2,4,2,Distressed Equity,1,1.0,64.17670901869204,64.17670901869204
13711.0,219,9,1792.26,2,5,4,Distressed Equity,1,1.0,64.15892112241487,64.15892112241487
13734.0,509,4,6701.640000000001,1,3,5,Distressed Equity,1,1.0,63.85831592595519,63.85831592595519
15658.0,190,8,2423.4700000000003,2,4,4,Distressed Equity,1,1.0,63.657513659156976,63.657513659156976
14154.0,239,8,6460.7,2,4,5,Distressed Equity,1,0.98,64.60301760293488,63.310957250876186
17050.0,96,11,4691.79,3,5,5,High-Yield Volatile,1,1.0,63.15415360339957,63.15415360339957
14870.0,262,6,1838.95,2,4,4,Distressed Equity,1,1.0,63.07887339188241,63.07887339188241
13330.0,93,6,2806.18,3,4,4,High-Yield Volatile,1,1.0,62.698909721733244,62.698909721733244
17770.0,199,5,1143.27,2,4,3,Distressed Equity,1,1.0,62.633755698145286,62.633755698145286
14267.0,163,3,1516.24,3,3,4,High-Yield Volatile,1,1.0,62.61354559901682,62.61354559901682
14021.0,155,7,1716.58,3,4,4,High-Yield Volatile,1,1.0,62.51314197157008,62.51314197157008
15624.0,117,4,588.13,3,3,2,High-Yield Volatile,1,1.0,62.347953421070876,62.347953421070876
13752.0,124,7,1590.73,3,4,4,High-Yield Volatile,1,1.0,62.0628080710796,62.0628080710796
16801.0,163,4,1619.73,3,4,4,High-Yield Volatile,1,0.99,62.54274647638132,61.9173190116175
14301.0,117,4,1992.18,3,3,4,High-Yield Volatile,1,1.0,61.773808500393436,61.773808500393436
12873.0,282,3,2027.3,2,3,4,Distressed Equity,1,1.0,61.63255868594189,61.63255868594189
16948.0,139,7,868.77,3,4,3,High-Yield Volatile,1,1.0,61.61061392589159,61.61061392589159
13873.0,120,8,1038.92,3,4,3,High-Yield Volatile,1,0.99,62.032139637841034,61.411818241462626
14127.0,123,6,1900.08,3,4,4,High-Yield Volatile,1,1.0,61.23088562003131,61.23088562003131
15480.0,116,5,6279.0,3,4,5,High-Yield Volatile,1,1.0,60.885948250459066,60.885948250459066
15882.0,199,8,1495.98,2,4,4,Distressed Equity,1,1.0,60.82628329934542,60.82628329934542
13253.0,157,4,2951.11,3,3,4,High-Yield Volatile,1,1.0,60.75450646484886,60.75450646484886
13242.0,112,7,699.4,3,4,3,High-Yield Volatile,1,1.0,60.716110545574004,60.716110545574004
13889.0,93,6,1991.23,3,4,4,High-Yield Volatile,1,1.0,60.662590844914504,60.662590844914504
17597.0,214,5,3484.09,2,4,5,Distressed Equity,1,1.0,60.518719781216255,60.518719781216255
